LR_minmax_stk,KNN_minmax_stk,SVR_sigmoid_stk,SVR_linear_stk,CB_minmax_stk,Ridge_minmax_stk,ET_minmax_stk,XGB_minmax_stk,Lasso_minmax_stk,GB_minmax_stk,SVR_poly_stk,HGB_minmax_stk,DT_minmax_stk,RF_minmax_stk,MLP_minmax_stk,AB_minmax_stk,LGBM_minmax_stk,SVR_rbf_stk,Elastic_minmax_stk,Current density,LR_minmax_corr_stk,KNN_minmax_corr_stk,SVR_sigmoid_corr_stk,SVR_linear_corr_stk,CB_minmax_corr_stk,Ridge_minmax_corr_stk,ET_minmax_corr_stk,XGB_minmax_corr_stk,Lasso_minmax_corr_stk,GB_minmax_corr_stk,SVR_poly_corr_stk,HGB_minmax_corr_stk,DT_minmax_corr_stk,RF_minmax_corr_stk,MLP_minmax_corr_stk,AB_minmax_corr_stk,LGBM_minmax_corr_stk,SVR_rbf_corr_stk,Elastic_minmax_corr_stk,LR_minmax_fi_stk,KNN_minmax_fi_stk,SVR_sigmoid_fi_stk,SVR_linear_fi_stk,CB_minmax_fi_stk,Ridge_minmax_fi_stk,ET_minmax_fi_stk,XGB_minmax_fi_stk,Lasso_minmax_fi_stk,GB_minmax_fi_stk,SVR_poly_fi_stk,HGB_minmax_fi_stk,DT_minmax_fi_stk,RF_minmax_fi_stk,MLP_minmax_fi_stk,AB_minmax_fi_stk,LGBM_minmax_fi_stk,SVR_rbf_fi_stk,Elastic_minmax_fi_stk
4.22580867073844,4.359798245504834,4.412853828758774,4.4762148860013,4.586341996361453,4.379879400772531,4.769409406404835,4.612096309661865,4.266120030425542,4.450316870216493,4.171475949570206,4.79537448833584,5.087596335232384,4.640578889037094,4.35369823050166,4.651404499169704,4.130497071050828,4.625459375101331,4.306539576137297,4.912654885736052,4.18990666819947,4.539938347056467,5.002745079231146,4.457943801181756,4.556142977438469,4.22472122862889,4.667692415663698,4.70153284072876,4.1933601266298295,4.928655563781356,4.168696358772177,4.9665305270068085,4.736198448394496,4.343720384597432,4.596183338749252,4.764126335590215,4.130497071050828,4.596028920948094,4.198539296862877,4.426997821371229,4.409073363737814,4.472456993650944,4.494323648802473,4.416301511011532,4.371667274679337,4.781413512620336,4.612096309661865,4.426361306752852,4.450316870216493,4.3049398359614,4.79537448833584,4.736198448394496,4.2974642432306265,4.377757833610747,4.56267147207161,4.130497071050828,4.615539160778168,4.380302854249438
4.362879693871604,4.34324028159722,4.5526100842841295,4.599765293623654,4.582121773515133,4.451088193285061,4.393918967177838,4.466490268707275,4.392503511428583,4.4683285457324935,4.308979476597113,4.282866458341824,4.219507705176107,4.399103100872063,4.457431136470219,4.204882135266181,4.132960719446982,4.441684496609145,4.416569332763853,4.836281906951478,4.32475214125448,4.23410650459726,4.85173317475878,4.657768409088147,4.342168581660221,4.3600478135782925,4.254231834200789,4.208292007446289,4.328269953881329,4.255113708062447,4.66456350122279,4.23414650557343,4.219507705176107,4.168029338117188,4.298355200742918,4.187202426412473,4.132960719446982,4.334225550844927,4.333521232759454,4.500420005477143,4.402844849339164,4.613692862920478,4.60501610079097,4.493876048634935,4.438759562620893,4.364586154102322,4.466490268707275,4.500025004635679,4.4683285457324935,4.614312823836752,4.282866458341824,4.219507705176107,4.369116554834696,4.29018803041732,4.219507705176107,4.132960719446982,4.453273710490112,4.45923624577297
4.811089631698063,4.710449841161319,5.842665899882269,4.796700530330652,4.855512654508972,4.189728149316956,4.898246897120153,4.942781925201416,4.504343458404621,5.188027653915017,4.833720179427422,4.819604167208326,5.087596335232384,4.726076292660005,3.249741052138417,4.867534450455582,4.1621367239183,3.794077354255833,4.429263343158319,3.9318256327243257,4.272515071337695,4.736198448394496,5.026917971389483,4.533276451764564,4.724624346189994,4.302873569982985,4.801770098760363,4.725470066070557,4.275979900129571,4.687736337653362,4.334835334890752,4.793600937357084,4.736198448394496,4.791622033539083,4.8096996646303385,4.796462304835951,4.1621367239183,4.836536453260551,4.280211296175687,4.1564997512871145,4.733742650951806,5.243134648384391,4.677273979674502,5.241492309234413,4.142618300691313,4.593121984746847,4.942781925201416,4.164080895526182,5.188027653915017,4.535897493571992,4.819604167208326,4.861701745341183,4.427199388132021,5.113172466027072,4.84644878310598,4.1621367239183,3.716017522538405,4.326117177283326
4.232124269036692,4.769655964041021,4.527798777842129,4.523748709227853,4.488241528211024,4.3834909243023485,4.627229769212122,4.634731292724609,4.27537092861536,4.635440325021241,4.522894785782297,4.734715656150191,4.804021044733257,4.561866657706415,4.6389241398248044,4.583716735401474,4.1284300127337055,4.228422364217649,4.310817184239722,4.976733742420574,4.2879983229315375,4.531152146574389,4.760616836352292,4.618448362666673,4.54230827377765,4.323811194963123,4.5947842316845735,4.558251857757568,4.291499945094949,4.545718690039162,4.568132738053454,4.718695624849881,4.718498871295094,4.547952600214413,4.439327923776259,4.52483242172201,4.1284300127337055,4.549427511738067,4.296868582940513,4.424428014096423,4.719261848426574,4.567316216663985,4.523574907112181,4.725290735253107,4.37385592901696,4.738774395981943,4.634731292724609,4.424299456343123,4.635440325021241,4.871163376054156,4.734715656150191,4.736198448394496,4.718559532027872,4.489243663158019,4.639937969985458,4.1284300127337055,4.212983928740251,4.398538272490387
4.543233591182598,4.7735188503902215,4.553807013280374,4.477322336338003,4.811574506610366,4.360399299959397,4.740336403046426,4.744843006134033,4.504080605772031,4.718711430512353,4.88856080453285,4.833799662732367,4.740336403046426,4.743517063502448,4.647312727144004,4.768501127035026,4.135628192655502,4.869328879406988,4.478343625397776,4.7535901911063645,4.644337577273649,4.573294712469125,4.427830269149463,4.594276519785019,4.602497719477039,4.606193058581484,4.756451439003495,4.567128658294678,4.639844107166416,4.53535702641287,4.662445979096344,4.720174588584934,4.7535901911063645,4.619815632498871,4.571898679099081,4.550671033126857,4.135628192655502,4.680589841268477,4.634683142637153,4.400653234732946,4.7735188503902215,4.5541828898033865,4.496710587588298,4.766722833678493,4.352804500342946,4.740336403046427,4.744843006134033,4.400560469316478,4.718711430512353,4.869208465233896,4.833799662732367,4.969813299576001,4.752048959149837,4.8151972093857065,4.7847847947311655,4.135628192655502,4.869963724373748,4.377864554793541
4.454920341312479,3.4339872044851463,4.344972667936795,4.352532500174188,3.557478896337204,4.256497668379808,3.4339872044851463,3.6331615447998047,4.410582458085234,3.453716393660106,4.103458408865166,3.436166950850238,3.346041871253314,3.7097592020201167,4.305965156859385,3.623449200294136,4.170790403119979,3.5340583362752045,4.375715838656422,3.6635616461296463,4.454449827363029,3.4339872044851463,3.974327022115263,4.244631641266418,3.5969248535178284,4.409667310045986,3.404672093407868,3.64237117767334,4.449981008741565,3.389553996659774,3.9480731303264864,3.459896917363707,3.2769667020129054,3.90460683473308,4.296744458697946,3.5429506459433804,4.170790403119979,3.534367904292002,4.443386824872061,4.2734231385109895,3.4339872044851463,4.301506831325083,4.264131196459026,3.6206598408448847,4.249186983067423,3.433987204485146,3.6331615447998047,4.273154703199033,3.453716393660106,4.313649989845283,3.436166950850238,3.2769667020129054,3.7063469510875127,3.758073663981172,3.87347408325425,4.170790403119979,3.534250630718894,4.253514002881978
3.181424817181105,4.162581072787575,3.4134963426671936,3.366579883773709,3.619291248261232,3.476602553213407,3.603925874193759,3.2546582221984863,3.2331078083902813,3.678313736141693,3.4117429485093265,3.152085825876004,3.295836866004329,4.044031191408066,4.008982381361285,3.511776617865551,4.203838925207815,3.808084223682783,3.2487272011027524,2.6390573296152584,3.295836866004331,3.295836866004329,3.39595166837806,3.395983493230742,3.4459356751178225,3.317358924108176,3.295836866004329,3.25671648979187,3.298953588742536,3.4540054465238565,3.3959363403725,3.30486423891806,3.3649120352447377,3.92822807954874,3.29936168120398,3.442650249491509,4.203838925207815,3.195635004109537,3.301517228087743,3.226757015357763,4.487612934886606,3.4106924615564926,3.3650739681659387,3.47310091066163,3.617713389663159,3.295836866004329,3.2546582221984863,3.231156310942424,3.678313736141693,2.437810576429776,3.152085825876004,3.3649120352447377,3.941996278353285,3.0848888995203327,3.380149385772018,4.203838925207815,3.8179291369259967,3.5631731035617547
4.250621203503976,4.675143689325554,4.36324819337228,4.426289964014988,4.318590320587498,4.341831179387312,4.728875277721454,4.703299045562744,4.277551445362821,4.6142064583282005,4.220155687561812,4.429461636274651,5.0001256104842176,4.365916018866341,4.384669751268046,4.424548028610454,4.136189214644894,4.944117928484095,4.297466818277496,4.736198448394496,4.21892411521337,3.9318256327243257,5.0269179713866805,4.485737688048349,4.506272393808422,4.253020900229108,4.733264066029565,4.108634948730469,4.222385306904448,4.024285423845077,4.234716370653251,4.726276051458981,4.718498871295094,4.306255052814743,4.6452024866432255,4.465975621604271,4.136189214644894,4.761049288528699,4.227409253205468,4.368273447185565,4.538322393370329,4.419302043546451,4.433137378630223,4.452374934961517,4.32971180808618,4.759847444219942,4.703299045562744,4.368081914678204,4.6142064583282005,4.5721477492649845,4.429461636274651,4.075666668950216,4.281397289498403,4.965936795314801,4.43859239037913,4.136189214644894,4.9270343255671865,4.344136977348718
4.406813839234313,4.240760908318721,4.8330933756914485,4.837289101803808,4.389971212094422,4.551107189418135,4.46556044643588,4.438660621643066,4.457470559552831,4.351706229355887,4.293213470405737,4.716241824670145,4.23410650459726,4.4430509394674464,4.509457511030055,4.572562024691805,4.148847056973365,4.271467509530566,4.499552499306244,4.343805421853684,4.336733213311295,4.847616306857834,4.587301138399474,4.673015912570729,4.643532129416061,4.369382904782976,4.72949574000082,4.696179389953613,4.340238907946793,4.712705209411885,4.640087857007311,4.747779718182084,4.736198448394496,4.775993468094399,4.503280461541106,4.640403978420999,4.148847056973365,4.818357859175977,4.344936088029556,4.6321487560981325,4.280874722034217,4.831069409021943,4.708120478895476,4.43168446577188,4.541022378160739,4.573976849820361,4.438660621643066,4.631103431589762,4.351706229355887,4.209844946043908,4.716241824670145,4.804021044733257,4.351982399914443,4.095432649897438,4.578182587040858,4.148847056973365,4.183810196516725,4.55585402197184
4.739649936008231,3.58351893845611,4.63946034144815,4.64148996005716,4.247793958453137,4.489442503248326,4.022779232271033,4.145782470703125,4.682480270983149,4.330394850825884,4.248011070337405,4.715900182760585,3.58351893845611,4.101658379914379,4.282841882755957,4.345188286854323,4.1353512887031805,4.615284064089673,4.653483607895447,4.762173934797756,4.643651003193727,4.57186408852056,4.427830269149477,4.594276519785019,4.60142064391292,4.605559951932603,4.7535901911063645,4.5673136711120605,4.6391575753017005,4.534661758387876,4.653882097041913,4.720174588584934,4.7535901911063645,4.647597617470664,4.563581609176013,4.513103918120702,4.1353512887031805,4.680589841268477,4.634007760350024,4.56105615215358,3.58351893845611,4.639142610630776,4.642077685062658,4.194125226843264,4.481201844301849,4.071048627060383,4.145782470703125,4.5600769769870775,4.330394850825884,4.657903853130433,4.715900182760585,4.168554564781237,4.122392384153128,4.168601872462474,4.345188286854324,4.1353512887031805,4.635668777512579,4.491158605404254
3.3602882865830064,2.985894893899743,3.2859946691592743,3.278786076126882,2.82888726495671,3.7171136279396007,2.591883422275886,2.7851099967956543,3.4599961173982843,2.974435401461791,2.392403171190854,3.0115799016722864,2.7212088552608966,3.0744646602312216,3.3225783096465147,2.7614025313970445,4.206229509845857,2.9224294478200545,3.486098461514321,2.5649493574615367,3.405727953049161,2.7212088552608966,2.4975744877474044,3.327097880331241,2.811141750085363,3.4647797883010365,2.9885821540839017,2.689279079437256,3.4145482153207607,2.918288201844798,2.890089565055206,3.0192580669132023,2.7212088552608966,2.9293471772902056,2.726050159800085,2.7212088552608966,4.206229509845857,2.9440340971737,3.421497354900017,3.5964425637283743,3.082967681084521,3.253423492430048,3.43583923591942,2.7543965868856244,3.699413634925485,2.6673232581838087,2.7851099967956543,3.5976339840510185,2.974435401461791,1.4957908249299336,3.0115799016722864,2.7212088552608966,3.2093117809902387,2.3329835194144173,3.0178512549261054,4.206229509845857,3.262266819521116,3.683105120463653
3.098014908999367,3.354471275152957,2.612892251239499,3.214006362287524,2.719790904917794,3.6288470008195937,2.770833164989236,2.542418956756592,3.230346765031795,2.543065250304762,2.1804179653147218,2.517725023596068,2.481422315129953,2.9549701763900824,3.4488179858848693,2.5649493574615367,4.190759405013053,3.569727073577313,3.289170838092712,3.044522437723423,3.270407388588275,2.481422315129953,3.113413586947216,3.327097880331241,2.618249511913926,3.3404014938829905,2.788760037308116,2.4506313800811768,3.279223395728214,2.736504002839117,2.665287848412601,2.556830681633668,2.481422315129953,2.708754564503228,2.4733134286649605,2.5092646625738144,4.190759405013053,2.498019030667493,3.288496563271435,3.4727870482234984,3.207695072737645,2.612330788264793,3.382053173642936,2.501795067331111,3.6139699937948495,2.9297058255356223,2.542418956756592,3.4747394804454923,2.543065250304762,2.662397926578511,2.517725023596068,2.481422315129953,2.999231361233166,2.982272263752141,2.5649493574615367,4.190759405013053,3.5587548004930505,3.604130983424345
3.5010862936493834,3.8538941369945503,3.4216810653821863,3.574573461269046,3.9334814260054,3.802217267030754,2.7088212815401027,3.48326063156128,3.588429115797037,3.5958799743499874,3.7271883577550646,3.2478225996366947,2.80473589759248,3.3191705349083023,3.697402246904772,2.8846647443027944,4.211618346552695,4.028023809159586,3.607798270516081,2.3978952727983707,3.4528654050090832,2.80473589759248,2.664963805987885,3.327097880331241,2.8886520439536474,3.508105619089172,3.044266848971624,2.77400541305542,3.461687086017177,3.006652772133509,2.8894487394453403,3.0147534103291287,2.80473589759248,2.9861682032963137,2.807123546657764,2.80473589759248,4.211618346552695,2.944073262963893,3.46782673913663,3.700051129080265,3.767220953306916,3.4154001119270347,3.5745354411673023,3.625193813774543,3.7830657044138754,2.764771474237323,3.48326063156128,3.700754368878359,3.5958799743499874,3.3883201384959527,3.2478225996366947,2.80473589759248,3.606989527217361,3.930797550570386,3.044522437723423,4.211618346552695,3.979573573323183,3.759775574235375
2.7534693784386928,3.6576426928304864,2.720299602113588,2.76949385720388,3.890838079171952,3.0466866921350024,3.252572972419929,3.2851226329803467,2.770964335616763,3.221340839094554,3.9315198432660456,3.0362027796935207,2.6390573296152584,3.3786893734930388,2.281847400446621,2.8409785175481272,4.182652488831551,3.692896601699353,2.789335331969858,3.295836866004329,2.6390573296152624,2.6390573296152584,2.739364529644603,2.739337991704609,2.9565914141432104,2.6638243324700026,2.6390573296152584,2.5995657444000244,2.642171846929113,2.9799974458004623,2.7390951582340834,2.674719747798958,3.346041871253314,3.494914082050838,2.641734023762763,3.204644962925703,4.182652488831551,2.738839278547113,2.6453744288391867,2.735144757769252,4.020879318402964,2.767165727387364,2.8268101752996,3.670200408705175,3.3000097461065447,2.6390573296152584,3.2851226329803467,2.737767372566776,3.221340839094554,3.919412358035202,3.0362027796935207,3.346041871253314,3.769975111358033,3.344013891544805,2.6390573296152584,4.182652488831551,3.7342221719786672,3.094537458774102
4.5854563940906194,4.848329574103436,4.653231334229391,4.610684722017763,4.846281805949952,4.391245663742719,4.861701745341183,4.808561325073242,4.54630340868,4.817178561043977,4.888460348487794,4.857058788402149,4.861701745341183,4.84089595701613,4.522555993657454,4.923794316296767,4.145281191795103,4.869529140586626,4.517784423428676,4.454347296253507,4.668272636682817,4.623168528277936,4.410848224383301,4.63969270484459,4.640045054857304,4.628264158695031,4.756451439003495,4.612228870391846,4.663779746772843,4.593786136168196,4.686622757402223,4.750219865715769,4.7535901911063645,4.688982247988328,4.578751574317042,4.587000536474094,4.145281191795103,4.853624550620879,4.658228038430617,4.435203369799594,4.848329574103436,4.653508021540453,4.611282811697256,4.843053773730028,4.383137217865019,4.861701745341183,4.808561325073242,4.435110647453136,4.817178561043977,4.8697969501488,4.857058788402149,4.969813299576001,4.835653775376069,4.918639512066489,4.897620588237213,4.145281191795103,4.869578899137536,4.410622728863998
